video_id,title,published,views,likes,comments,duration,tags
_Md_XD67oTY,End to End Machine Learning with AI First Colab,2025-12-02T20:00:37Z,1237,106,5,5.986452005284438,"['Google', 'developers', 'pr_pr: Google Cloud Tech;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
6mQwHqK1I5w,"How to build an AI agent with MCP, ADK, and A2A on Google Cloud",2025-12-02T17:00:25Z,2576,159,8,6.771935555839602,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Video Type:DevByte;', 'Campaign: BBDS;', 'Series: BBD Demos;', 'ct: AIG;', 'gds:Yes;']"
yF5wqZR9qCU,Visualizing and Translating International Menus with Nano Banana Pro,2025-12-02T05:01:22Z,282,9,1,6.028278520230698,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
sE40CZVl01s,Visualizing Text-Only Menus with Images with Nano Banana Pro,2025-12-02T05:01:17Z,175,6,2,5.438079308923196,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
zmtrkVTOGtE,Turning PDFs into Interactive Apps with Gemini 3,2025-12-02T05:01:16Z,7034,182,12,5.262690188904886,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
te5gShC_Yt4,Vibe Coding an Interactive 3D Home Design App with Gemini 3,2025-12-02T05:01:11Z,1897,58,4,5.4510384535657,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
qopbY6XRsEo,Gemini 3 Demos: Bouncing Ball Physics and Simulation City Game,2025-12-02T05:01:08Z,208,9,0,4.624972813284271,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
ou3MCs79Lm0,Vibe Coding a 3D Floor Plan Visualization App with Nano Banana Pro,2025-12-02T05:01:07Z,98,2,1,4.59511985013459,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
nwqVLgk4qzU,Vibe Coding a Custom Arcade Game from Photos with Nano Banana Pro,2025-12-02T05:01:06Z,91,2,1,5.442417710521793,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
oBgtW7A_c-g,Gemini 3 Redesigns Google’s Benchmark Charts,2025-12-02T05:01:06Z,451,9,1,4.68213122712422,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
o3_gwrKLkF4,"Building ""AI Studio in AI Studio"" (feat: Google Antigravity)",2025-12-02T05:01:05Z,3711,39,1,5.752572638825633,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
iB3W0H16Gog,Vibe Coding a Multimodal Weather App with Gemini 3 and Nano Banana Pro,2025-12-02T05:01:02Z,99,3,1,5.19295685089021,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
cG6BChfD01E,Comparing Nano Banana Pro vs. Nano Banana,2025-12-02T05:00:57Z,109,2,1,5.541263545158426,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
