video_id,title,published,views,likes,comments,duration,tags
9oYHU1hdDog,"Agents, AI & The Next Wave: Mike Clark on Vertex AI at DevFest Silicon Valley",2025-11-21T00:00:10Z,1590,42,13,7.379008127628304,"['Google', 'developers', 'pr_pr: Google Developer Groups;', 'Purpose: Learn;', 'Video Type:Interview;', 'ct: ;', 'gds:N/A;']"
9EGtawwvlNs,Build an AI Agent with Gemini 3,2025-11-20T21:45:49Z,65403,2016,97,5.948034989180646,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
sCXuCczPE8A,What's on the newsdesk for Google Developers this November? Take a peek!,2025-11-20T20:00:55Z,3051,35,3,3.5263605246161616,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: ;', 'Video Type:G4D SV: Educational ;', 'ct: AIG; ;', 'gds:Yes;']"
hunRGj4Bpb0,Keep your code fresh and clean with YAGNI!,2025-11-20T19:30:53Z,6688,176,6,3.5263605246161616,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: TIPS;', 'type:G4D SV: Educational ;', 'ct: AIG;', 'gds:Yes;']"
L0QHMLx02l4,"Introducing ADK Go, User Simulator, and more! - Google Developer News November 2025",2025-11-20T17:02:19Z,4880,126,4,4.882801922586371,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:Yes;']"
uzFOhkORVfk,Google Antigravity: Hands on with our new agentic development platform,2025-11-20T04:40:52Z,14870,422,61,7.897296472595885,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:Podcast;', 'gds:Yes;', 'ct: AIG;']"
ku-N-eS1lgM,Gemini 3 for Developers,2025-11-19T20:03:14Z,25341,692,45,6.331501849893691,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
mci0f2dy7G0,Gemini 3: Launch day reactions,2025-11-19T03:58:36Z,11384,343,34,7.838737559599282,"['Google', 'developers']"
Pb6XHGi542A,Vibe coding with Gemini 3 in AI Studio,2025-11-18T20:00:53Z,26551,681,44,6.522092798170152,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
3F9nDL0jGW0,What is a Service Level Objective (SLO)?,2025-11-18T05:00:11Z,5069,91,5,4.060443010546419,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Series: AASRE;', 'type:G4D SV: Educational ;', 'gds:Yes;', 'ct: AIG;', 'campaign: BBDS;']"
GHPjBkwEKh4,Why does this throw a null pointer exception?  Go!,2025-11-17T14:00:21Z,5183,58,11,2.833213344056216,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: G4D: Puzzles;', 'Video Type:G4D SV: Educational ;', 'ct: AIG;;', 'gds:Yes;']"
QAXe1nfo8Jk,It was – indeed – not their first day.,2025-11-14T20:00:25Z,30405,312,18,2.4849066497880004,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Influence;', 'Campaign: ;', 'type:G4D SV: Comedic skits;', 'ct: AIG;;', 'gds:Yes;']"
RQ_WppuZxWk,5 ways Genkit makes building AI apps faster ⚡,2025-11-13T20:00:21Z,7642,126,14,4.04305126783455,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Influence;', 'Campaign: STV; type:G4D SV: Educational ;', 'gds:Yes;']"
hQ6nqDP905k,Introduction to Metrax: Evaluation metrics for JAX,2025-11-13T17:01:15Z,2990,107,9,5.768320995793772,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
iezyXHUniVI,How are AI agents useful for reliability?,2025-11-12T05:01:03Z,5369,152,9,4.406719247264253,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: BBDS;', 'Series: AASRE;', 'type:G4D SV: Educational ;', 'ct: AIG;', 'gds: yes;']"
qf_HIvdmNcw,What's the one tool you couldn't work without? Share your go-to. 👇,2025-11-11T20:00:53Z,5507,106,4,3.7612001156935624,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Influence;', 'Video Type:G4D SV: I/O ;', 'ct: AIG;;', 'gds:Yes;']"
GH1Ns0Wenec,Which DevFest dev are you?,2025-11-11T17:00:24Z,4842,71,5,3.1354942159291497,"['Google', 'developers', 'pr_pr: Google Developer Groups;', 'Purpose: Learn;', 'Campaign: ;', 'Video Type:Trailer/Promo;', 'ct: AIG; ;', 'gds:Yes;']"
U4r5v837JaA,What do you think this Python code will print? Go!,2025-11-10T17:01:01Z,5902,67,10,2.8903717578961645,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: G4D: Puzzles;', 'Video Type:G4D SV: Educational ;', 'ct: AIG;;', 'gds:Yes;']"
r3-x0GtOmmc,Code Execution with Gemini | Intro to Tools,2025-11-08T00:58:43Z,9348,239,12,5.666426688112432,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
u5sQDKot0qE,Building AI Agents with ADK Go,2025-11-07T17:13:59Z,10575,415,26,6.400257445308821,"['Google', 'developers', 'pr_pr: Google Cloud Tech;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: AIG;', 'gds:N/A;']"
QagTKYVfF_k,Differences between AI automation and augmentation? 🤔,2025-11-07T05:00:29Z,5707,209,4,4.290459441148391,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: BBDS;', 'type:G4D SV: Educational ;', 'ct: AIG; ;', 'gds:Yes;']"
lytlt8gBAYo,THINK FAST: register for Devfest!,2025-11-06T20:00:47Z,22172,151,13,2.1972245773362196,"['Google', 'developers', 'pr_pr: Google Developer Groups;', 'Purpose: Learn;', 'Campaign: ;', 'Video Type:Trailer/Promo;', 'ct: AIG; ;', 'gds:Yes;']"
